FOLIO_I,FOLIO_INT,entidad,desc_ent,municipio,desc_mun,id_tortillas,tortillas,pa1_t,pa4_t,ponde_f,estrato,est_sel,upm,completa,region
2022_01001124,2022_01001124_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,200058.954336164,3,13,0100100012386,1,4
2022_01001124,2022_01001124_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,200058.954336164,3,13,0100100012386,1,4
2022_01001124,2022_01001124_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,4,5,200058.954336164,3,13,0100100012386,1,4
2022_01001124,2022_01001124_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,200058.954336164,3,13,0100100012386,1,4
2022_01001151,2022_01001151_03,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,41144.7496627228,3,13,0100100012687,1,4
2022_01001151,2022_01001151_03,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,41144.7496627228,3,13,0100100012687,1,4
2022_01001151,2022_01001151_03,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,2,3,41144.7496627228,3,13,0100100012687,1,4
2022_01001151,2022_01001151_03,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,41144.7496627228,3,13,0100100012687,1,4
2022_01001155,2022_01001155_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,16329.2802916334,3,13,0100100012687,1,4
2022_01001155,2022_01001155_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,16329.2802916334,3,13,0100100012687,1,4
2022_01001155,2022_01001155_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,3,4,16329.2802916334,3,13,0100100012687,1,4
2022_01001155,2022_01001155_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,2,4,16329.2802916334,3,13,0100100012687,1,4
2022_01001194,2022_01001194_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,136870.972508855,3,13,0100100013098,1,4
2022_01001194,2022_01001194_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,136870.972508855,3,13,0100100013098,1,4
2022_01001194,2022_01001194_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,9, ,136870.972508855,3,13,0100100013098,1,4
2022_01001194,2022_01001194_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,136870.972508855,3,13,0100100013098,1,4
2022_01001206,2022_01001206_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,16003.8584691401,3,13,0100100013882,1,4
2022_01001206,2022_01001206_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,16003.8584691401,3,13,0100100013882,1,4
2022_01001206,2022_01001206_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,160,Tortillas de maiz de masa (comprada) o de tortillería,7,3,16003.8584691401,3,13,0100100013882,1,4
2022_01001206,2022_01001206_01,01,01 AGUASCALIENTES,001,001 AGUASCALIENTES,161,Tortillas de harina de trigo,9, ,16003.8584691401,3,13,0100100013882,1,4
2022_01002008,2022_01002008_05,01,01 AGUASCALIENTES,002,002 ASIENTOS,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,20243.6850996827,1,11,0100200000029,1,4
2022_01002008,2022_01002008_05,01,01 AGUASCALIENTES,002,002 ASIENTOS,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,20243.6850996827,1,11,0100200000029,1,4
2022_01002008,2022_01002008_05,01,01 AGUASCALIENTES,002,002 ASIENTOS,160,Tortillas de maiz de masa (comprada) o de tortillería,7,8,20243.6850996827,1,11,0100200000029,1,4
2022_01002008,2022_01002008_05,01,01 AGUASCALIENTES,002,002 ASIENTOS,161,Tortillas de harina de trigo,9, ,20243.6850996827,1,11,0100200000029,1,4
2022_01002010,2022_01002010_03,01,01 AGUASCALIENTES,002,002 ASIENTOS,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,13347.9142132638,1,11,0100200000029,1,4
2022_01002010,2022_01002010_03,01,01 AGUASCALIENTES,002,002 ASIENTOS,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,13347.9142132638,1,11,0100200000029,1,4
2022_01002010,2022_01002010_03,01,01 AGUASCALIENTES,002,002 ASIENTOS,160,Tortillas de maiz de masa (comprada) o de tortillería,7,4,13347.9142132638,1,11,0100200000029,1,4
2022_01002010,2022_01002010_03,01,01 AGUASCALIENTES,002,002 ASIENTOS,161,Tortillas de harina de trigo,1,3,13347.9142132638,1,11,0100200000029,1,4
2022_01002011,2022_01002011_01,01,01 AGUASCALIENTES,002,002 ASIENTOS,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,20243.6850996827,1,11,0100200000029,1,4
2022_01002011,2022_01002011_01,01,01 AGUASCALIENTES,002,002 ASIENTOS,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,20243.6850996827,1,11,0100200000029,1,4
2022_01002011,2022_01002011_01,01,01 AGUASCALIENTES,002,002 ASIENTOS,160,Tortillas de maiz de masa (comprada) o de tortillería,9, ,20243.6850996827,1,11,0100200000029,1,4
2022_01002011,2022_01002011_01,01,01 AGUASCALIENTES,002,002 ASIENTOS,161,Tortillas de harina de trigo,9, ,20243.6850996827,1,11,0100200000029,1,4
2022_01002012,2022_01002012_02,01,01 AGUASCALIENTES,002,002 ASIENTOS,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,26695.8284265277,1,11,0100200000029,1,4
2022_01002012,2022_01002012_02,01,01 AGUASCALIENTES,002,002 ASIENTOS,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),3,2,26695.8284265277,1,11,0100200000029,1,4
